Grid Point,Drawing X,Drawing Y,2e:20,14:a1
158,83,192,-54,-47
159,83,192,-54,-47
160,77,195,-53,-48
161,76,198,-53,-48
162,78,200,-53,-49
163,78,199,-53,-48
164,72,202,-53,-49
165,67,200,-54,-49
166,67,199,-54,-48
167,68,200,-54,-49
168,65,194,-54,-48
169,65,188,-55,-47
170,65,185,-55,-46
171,65,178,-55,-45
172,66,175,-56,-44
173,65,168,-56,-42
174,66,163,-58,-40
175,65,161,-58,-39
176,65,153,-60,-36
177,66,151,-62,-35
178,66,143,-63,-33
179,66,139,-67,-34
180,69,137,-66,-33
181,75,137,-70,-30
182,79,139,-65,-30
183,77,140,-70,-27
184,79,147,-70,-28
185,78,151,-64,-31
186,78,157,-62,-36
187,78,163,-61,-39
188,78,166,-60,-41
189,78,173,-58,-43
190,78,175,-57,-43
191,77,183,-55,-45
192,75,192,-54,-47
193,75,201,-53,-49
194,75,210,-57,-50
195,76,218,-56,-51
196,76,227,-54,-52
197,77,235,-56,-53
198,78,244,-55,-54
199,80,252,-52,-54
200,86,259,-53,-55
201,95,261,-51,-59
202,103,259,-49,-70
203,110,254,-47,-70
204,115,247,-46,-69
205,117,238,-43,-69
206,116,229,-42,-68
207,116,220,-43,-63
208,114,213,-45,-62
209,114,211,-45,-62
210,114,211,-45,-62
211,115,214,-45,-62
212,122,213,-44,-62
213,126,211,-44,-62
214,130,211,-43,-61
215,136,211,-43,-61
216,139,211,-43,-61
217,146,211,-43,-61
218,150,211,-43,-64
219,152,211,-44,-63
220,159,211,-44,-64
221,163,211,-45,-64
222,170,212,-46,-66
223,174,211,-47,-65
224,181,210,-48,-67
225,186,210,-48,-71
226,184,210,-48,-67
227,187,217,-48,-67
228,187,222,-48,-67
229,186,222,-47,-66
230,178,223,-46,-66
231,174,223,-45,-66
232,170,223,-44,-65
233,164,223,-43,-64
234,158,223,-41,-63
235,152,223,-40,-63
236,148,223,-39,-62
237,141,223,-38,-63
238,138,223,-38,-64
239,134,223,-39,-63
240,128,223,-40,-64
241,128,223,-40,-64
242,128,223,-40,-64
243,122,228,-40,-63
244,121,237,-40,-64
245,124,244,-40,-65
246,126,247,-37,-65
247,119,249,-41,-64
248,113,255,-43,-64
249,107,261,-45,-70
250,104,262,-46,-70
251,98,259,-47,-60
252,90,259,-49,-58
253,82,257,-51,-55
254,74,253,-52,-54
255,69,247,-53,-54
256,66,247,-53,-56
257,66,248,-53,-55
258,64,255,-53,-57
259,66,259,-53,-55
260,66,260,-53,-55
261,67,268,-52,-55
262,66,270,-53,-56
263,68,272,-52,-56
264,75,273,-51,-56
265,78,271,-50,-56
266,81,271,-50,-56
267,88,271,-49,-56
268,90,271,-50,-59
269,95,271,-48,-60
270,101,271,-48,-59
271,108,270,-46,-71
272,113,271,-46,-71
273,119,271,-45,-65
274,125,271,-45,-65
275,129,270,-46,-65
276,136,271,-43,-66
277,142,270,-43,-72
278,148,271,-44,-67
279,147,271,-44,-67
280,151,267,-43,-72
281,151,260,-41,-67
282,149,258,-40,-67
283,149,250,-36,-66
284,150,247,-35,-66
285,150,243,-34,-65
286,150,236,-34,-65
287,150,236,-34,-65
288,150,237,-34,-65
289,153,232,-37,-64
290,160,229,-41,-64
291,168,230,-43,-66
292,173,234,-44,-66
293,174,235,-44,-66
294,181,234,-46,-66
295,185,235,-49,-67
296,185,237,-49,-65
297,187,244,-48,-67
298,186,246,-47,-66
299,185,247,-47,-67
300,178,248,-45,-66
301,174,247,-44,-66
302,176,247,-45,-66
303,173,249,-44,-65
304,173,257,-45,-67
305,174,259,-45,-67
306,175,255,-45,-72
307,178,259,-46,-68
308,184,260,-47,-66
309,186,259,-48,-67
310,184,260,-47,-66
311,188,264,-48,-66
312,187,269,-49,-69
313,187,271,-50,-73
314,186,267,-48,-69
315,179,270,-49,-67
316,175,271,-47,-73
317,168,272,-46,-68
318,162,271,-45,-67
319,163,271,-45,-67
320,160,276,-46,-69
321,161,282,-47,-73
322,161,283,-47,-73
323,160,284,-47,-73
324,153,285,-47,-68
325,150,284,-47,-73
326,148,283,-46,-73
327,141,283,-46,-65
328,136,283,-46,-67
329,129,283,-47,-64
330,126,283,-49,-64
331,121,283,-49,-65
332,115,283,-48,-68
333,112,283,-48,-72
334,103,282,-49,-61
335,95,282,-49,-60
336,91,283,-50,-60
337,86,282,-50,-56
338,80,283,-51,-56
339,78,283,-51,-56
340,71,284,-52,-57
341,66,283,-52,-56
342,70,284,-52,-57
343,70,280,-52,-56
344,76,274,-51,-56
345,84,271,-50,-56
346,93,269,-48,-60
347,101,268,-47,-60
348,110,270,-46,-71
349,118,272,-45,-64
350,126,275,-47,-64
351,135,276,-45,-65
352,143,277,-45,-68
353,152,277,-45,-67
354,161,278,-46,-69
355,169,280,-47,-68
356,173,281,-48,-67
357,174,282,-48,-67
358,174,282,-48,-67
359,174,282,-48,-67
360,174,282,-48,-67
361,174,282,-48,-67
362,174,282,-48,-67
363,174,282,-48,-67
364,174,282,-48,-67
365,174,282,-48,-67
